date,new_cases,new_deaths
2020-03-08T05:00:00Z,0,0
2020-03-09T04:00:00Z,0,0
2020-03-10T04:00:00Z,0,0
2020-03-11T04:00:00Z,1,0
2020-03-12T04:00:00Z,0,0
2020-03-13T04:00:00Z,0,0
2020-03-14T04:00:00Z,1,0
2020-03-15T04:00:00Z,2,0
2020-03-16T04:00:00Z,2,0
2020-03-17T04:00:00Z,1,0
2020-03-18T04:00:00Z,0,0
2020-03-19T04:00:00Z,4,1
2020-03-20T04:00:00Z,10,0
2020-03-21T04:00:00Z,1,1
2020-03-22T04:00:00Z,10,2
2020-03-23T04:00:00Z,8,2
2020-03-24T04:00:00Z,16,1
2020-03-25T04:00:00Z,23,0
2020-03-26T04:00:00Z,15,1
2020-03-27T04:00:00Z,17,1
2020-03-28T04:00:00Z,10,0
2020-03-29T04:00:00Z,13,1
2020-03-30T04:00:00Z,27,2
2020-03-31T04:00:00Z,11,0
2020-04-01T04:00:00Z,17,1
2020-04-02T04:00:00Z,14,0
2020-04-03T04:00:00Z,45,1
2020-04-04T04:00:00Z,26,0
2020-04-05T04:00:00Z,21,1
2020-04-06T04:00:00Z,13,0
2020-04-07T04:00:00Z,21,0
2020-04-08T04:00:00Z,12,0
2020-04-09T04:00:00Z,5,1
2020-04-10T04:00:00Z,12,1
2020-04-11T04:00:00Z,14,3
2020-04-12T04:00:00Z,7,1
2020-04-13T04:00:00Z,0,0
2020-04-14T04:00:00Z,5,2
2020-04-15T04:00:00Z,2,0
2020-04-16T04:00:00Z,3,0
2020-04-17T04:00:00Z,3,2
2020-04-18T04:00:00Z,1,0
2020-04-19T04:00:00Z,0,1
2020-04-20T04:00:00Z,1,0
2020-04-21T04:00:00Z,4,2
2020-04-22T04:00:00Z,3,3
2020-04-23T04:00:00Z,1,2
2020-04-24T04:00:00Z,6,0
2020-04-25T04:00:00Z,5,0
2020-04-26T04:00:00Z,0,0
2020-04-27T04:00:00Z,2,0
2020-04-28T04:00:00Z,0,0
2020-04-29T04:00:00Z,2,0
2020-04-30T04:00:00Z,1,2
2020-05-01T04:00:00Z,2,1
2020-05-02T04:00:00Z,3,0
2020-05-03T04:00:00Z,2,0
2020-05-04T04:00:00Z,0,0
2020-05-05T04:00:00Z,2,1
2020-05-06T04:00:00Z,3,0
2020-05-07T04:00:00Z,0,0
2020-05-08T04:00:00Z,0,0
2020-05-09T04:00:00Z,2,0
2020-05-10T04:00:00Z,0,0
